Folder,File,Spots1,Spots2,Spots3,Area,DMax,Dmin,Smax,Smin
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well4_Object3.tif_projection.tif,640,2890,709,5643979,2276.7183,106.648,2457,149
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object8.tif_projection.tif,678,3589,762,3307295,3277.6997,106.7557,3146,163
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well2_Object0.tif_projection.tif,808,1401,747,8326322,1469.4961,105.5532,1572,115
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well2_Object1.tif_projection.tif,552,3148,634,3790143,2256.4338,106.3934,3046,159
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object3.tif_projection.tif,658,3362,786,3238926,1940.224,106.4628,2401,161
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object1.tif_projection.tif,632,3981,1031,6026539,2436.8005,105.9314,2157,125
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object0.tif_projection.tif,776,3922,866,4149995,2538.5566,107.0152,2271,167
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object8.tif_projection.tif,1047,5269,1245,6523494,2527.7566,106.6831,2846,166
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well1_Object2.tif_projection.tif,40,346,58,1315278,1928.1033,106.1029,3942,152
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object1.tif_projection.tif,353,2059,423,2166081,2186.6814,107.2265,1959,170
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object2.tif_projection.tif,869,2291,933,3457420,1638.7533,106.4898,2581,164
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object0.tif_projection.tif,1123,5868,1310,6413752,2279.3447,106.5629,2924,165
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object1.tif_projection.tif,271,745,287,3019116,2027.7607,106.851,2929,190
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object10.tif_projection.tif,530,2616,589,4343628,3234.1882,106.6173,2300,131
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object6.tif_projection.tif,1033,5500,1291,6165369,2129.2917,105.9424,2513,124
